INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHIMIPREDICTOR
FUTURE,1,ADMIMETH_1,-2.016976169998294,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,1,ADMIMETH_1,-1.935254022409439,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,1,ADMIMETH_1,-2.0804827801266375,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,100,ADMIMETH_1,-1.4179007657196143,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,100,ADMIMETH_1,-1.426424301703615,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,100,ADMIMETH_1,-1.4239851982731868,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,101,ADMIMETH_1,-1.6012127126369222,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,101,ADMIMETH_1,-1.597620931839833,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,101,ADMIMETH_1,-1.5815630971447914,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,102,ADMIMETH_1,-2.0922259779732033,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,102,ADMIMETH_1,-2.1377826441460117,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,102,ADMIMETH_1,-2.1384017316669084,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,103,ADMIMETH_1,-1.9320317932997093,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,103,ADMIMETH_1,-1.9255315910596535,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,103,ADMIMETH_1,-1.925156859339877,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,104,ADMIMETH_1,-2.141998423075446,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
