INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHMIPREDICTOR
FUTURE,1,ADMIMETH_1,-2.032067378528533,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,1,ADMIMETH_1,-2.0788966599965097,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,1,ADMIMETH_1,-2.143831554368946,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,1,ADMIMETH_1,-2.182776626361808,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,1,ADMIMETH_1,-2.2348612609353027,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,1,ADMIMETH_1,-2.287244016038262,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,100,ADMIMETH_1,-1.3988307939598832,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,100,ADMIMETH_1,-1.3953932234811939,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,100,ADMIMETH_1,-1.3912631538550242,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,100,ADMIMETH_1,-1.3848928706027124,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,100,ADMIMETH_1,-1.3772270941824603,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
